ssn,age,education,marital-status,relationship,sex,income
171-34-5208,19.0,Assoc-voc,Never-married,Own-child,Male,
401-22-8500,32.0,,Married-civ-spouse,Husband,Male,
613-26-7812,18.0,,Never-married,Own-child,Male,<=50K
865-90-9090,28.0,,Divorced,Not-in-family,,>50K
653-13-2677,41.0,Some-college,Married-civ-spouse,Husband,Male,>50K
819-96-3144,31.0,Some-college,Divorced,Not-in-family,Female,
791-67-6903,46.0,Assoc-acdm,Never-married,Not-in-family,,
912-16-2161,34.0,10th,Never-married,Not-in-family,Male,
524-57-0024,44.0,Prof-school,Divorced,,,
755-46-6829,21.0,HS-grad,Never-married,Own-child,Female,
740-01-8426,,,,Husband,Male,<=50K
517-07-6166,32.0,Bachelors,,,Male,<=50K
675-85-9950,24.0,HS-grad,,Not-in-family,Female,
735-81-0810,23.0,,Never-married,Own-child,Male,<=50K
490-35-6264,51.0,Some-college,Married-civ-spouse,Husband,,
656-63-3905,23.0,HS-grad,Never-married,Not-in-family,,
271-03-8083,31.0,HS-grad,Married-civ-spouse,Husband,,>50K
340-54-0540,33.0,HS-grad,,,Male,>50K
673-61-7935,44.0,,Married-civ-spouse,Husband,Male,
435-71-8672,24.0,11th,,Own-child,Male,<=50K
176-44-3488,71.0,HS-grad,Never-married,Not-in-family,,<=50K
061-02-5798,49.0,7th-8th,Married-civ-spouse,,Male,>50K
368-02-8255,41.0,Doctorate,Married-civ-spouse,Husband,,>50K
935-31-9409,52.0,HS-grad,Never-married,Unmarried,Female,
588-72-8500,45.0,Some-college,Married-civ-spouse,Husband,Male,
036-51-7198,29.0,9th,Divorced,Not-in-family,,
967-53-6854,25.0,Masters,,Not-in-family,Male,<=50K
176-65-8476,41.0,,Married-civ-spouse,Husband,,
636-54-7910,24.0,Assoc-voc,Divorced,Not-in-family,Female,>50K
943-30-4667,32.0,Some-college,,Own-child,,>50K
077-61-0565,,HS-grad,Never-married,Unmarried,Female,>50K
868-79-6067,34.0,,Married-spouse-absent,,,
043-24-3243,40.0,,Married-civ-spouse,Husband,,
055-89-6805,45.0,10th,Married-civ-spouse,Husband,,<=50K
346-80-5896,27.0,,Married-civ-spouse,Husband,Male,>50K
178-65-4790,17.0,HS-grad,,,Female,<=50K
026-25-9213,31.0,,,,Male,<=50K
684-64-3733,23.0,HS-grad,Married-spouse-absent,Not-in-family,Male,
918-30-4667,43.0,Masters,Married-civ-spouse,Wife,Female,
876-53-5625,57.0,,Married-civ-spouse,Husband,,>50K
021-74-4471,,,Divorced,Not-in-family,,
114-71-1302,71.0,HS-grad,Married-spouse-absent,Not-in-family,,<=50K
190-07-9852,68.0,Some-college,Divorced,,,
593-21-2530,55.0,,Married-civ-spouse,Husband,Male,
303-25-5527,32.0,,,,,<=50K
187-62-2849,65.0,,Married-civ-spouse,Husband,Male,<=50K
787-65-3561,33.0,9th,Married-civ-spouse,Husband,,
218-91-8918,,HS-grad,Divorced,Not-in-family,,
464-06-6338,23.0,Some-college,Divorced,Not-in-family,Female,
799-66-2161,34.0,,Married-civ-spouse,Husband,,<=50K
035-62-6535,42.0,Masters,,,Male,
689-46-5601,39.0,,,Husband,,<=50K
893-05-8967,23.0,HS-grad,Separated,,Male,
877-94-8402,47.0,Prof-school,,Husband,Male,
748-52-5797,,,Divorced,Not-in-family,,
358-72-2358,,Bachelors,,Own-child,,
554-33-0466,56.0,Assoc-voc,Married-civ-spouse,Husband,Male,
133-35-3808,31.0,Bachelors,Never-married,Other-relative,Male,
472-38-9434,,Some-college,,,Male,
332-95-4545,55.0,,,Own-child,Male,>50K
534-42-8746,31.0,HS-grad,Never-married,Unmarried,,<=50K
958-99-8770,28.0,HS-grad,,Own-child,,<=50K
112-40-7862,,7th-8th,,Not-in-family,,<=50K
747-48-1571,68.0,,,Not-in-family,,<=50K
163-88-2063,20.0,Some-college,Never-married,Own-child,Male,<=50K
055-58-9680,19.0,10th,,Husband,,
303-28-6240,24.0,,Married-civ-spouse,Own-child,Male,<=50K
104-20-7616,53.0,10th,Never-married,,Male,
746-22-2357,37.0,,,Husband,,>50K
266-70-7616,59.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
590-60-1965,30.0,,Married-civ-spouse,Husband,,<=50K
101-01-3513,36.0,,Married-civ-spouse,Husband,Male,>50K
968-39-6804,57.0,Assoc-acdm,Separated,Unmarried,,<=50K
547-57-3709,57.0,HS-grad,Married-civ-spouse,Husband,Male,
273-98-6486,43.0,HS-grad,Never-married,Unmarried,,<=50K
157-86-2407,28.0,,Married-civ-spouse,,,<=50K
878-65-4790,43.0,HS-grad,Married-civ-spouse,,,<=50K
967-10-6878,38.0,Some-college,Married-civ-spouse,,Male,
494-25-6756,55.0,9th,Divorced,Not-in-family,,>50K
294-68-6731,21.0,HS-grad,Married-civ-spouse,,,<=50K
946-89-8033,24.0,HS-grad,Never-married,Not-in-family,Male,<=50K
580-58-9680,47.0,,Married-civ-spouse,Husband,,>50K
223-61-7935,38.0,HS-grad,Divorced,Unmarried,,<=50K
425-89-0662,44.0,HS-grad,Never-married,,,
032-30-9582,32.0,Assoc-acdm,Never-married,,,<=50K
494-28-7468,46.0,Bachelors,Divorced,Unmarried,Male,
146-09-9508,51.0,Some-college,Never-married,Not-in-family,Female,>50K
250-27-6412,44.0,Bachelors,Married-civ-spouse,Husband,,<=50K
791-95-3316,20.0,Some-college,Never-married,Own-child,Female,<=50K
826-41-2775,64.0,Assoc-acdm,,Husband,,
270-70-0245,20.0,11th,,Own-child,Male,<=50K
891-76-9040,26.0,Masters,Never-married,Other-relative,Male,
151-65-8476,19.0,Assoc-acdm,Never-married,Own-child,,<=50K
069-87-1007,70.0,,Never-married,,,
238-94-3488,41.0,Bachelors,,,Female,<=50K
847-08-2308,22.0,,,,Female,<=50K
832-58-5994,33.0,Some-college,,Husband,Male,
357-92-3832,22.0,Bachelors,Never-married,Own-child,,
534-85-8721,48.0,Some-college,Never-married,Unmarried,Female,
482-43-2431,42.0,11th,,Unmarried,,
357-06-3881,36.0,Bachelors,Never-married,Own-child,Male,<=50K
270-82-3095,40.0,HS-grad,,Husband,,<=50K
785-84-1522,40.0,,Married-civ-spouse,,Female,
534-82-8009,57.0,,,Husband,Male,
565-07-9852,21.0,9th,,,,<=50K
070-66-9533,26.0,Some-college,Never-married,,Male,
108-59-9508,,,Never-married,,Male,
569-77-8869,21.0,,Widowed,Not-in-family,,<=50K
691-55-4053,33.0,11th,Married-civ-spouse,,Male,<=50K
484-67-4446,29.0,,,,,<=50K
598-49-5085,55.0,9th,Married-civ-spouse,Husband,Male,
705-43-6117,45.0,,Married-civ-spouse,Wife,Female,
435-07-3709,44.0,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
823-89-4348,39.0,HS-grad,Never-married,Not-in-family,,>50K
523-40-2947,18.0,Bachelors,Married-civ-spouse,,Male,
095-60-8108,,,Divorced,Not-in-family,,<=50K
473-43-3660,39.0,Bachelors,Married-civ-spouse,,,<=50K
415-32-5552,26.0,HS-grad,,Wife,Female,
795-11-6706,38.0,,Divorced,,Male,
463-32-9237,51.0,Some-college,Never-married,Not-in-family,,
832-95-4544,35.0,,Married-civ-spouse,,,>50K
583-66-0933,53.0,Bachelors,,Husband,Male,>50K
777-54-9139,35.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
807-89-3119,24.0,HS-grad,Widowed,Not-in-family,Female,<=50K
758-63-0220,48.0,Some-college,,Husband,Male,
182-64-7419,,HS-grad,Divorced,Unmarried,Male,<=50K
947-20-5158,40.0,,Never-married,Unmarried,,
235-93-3660,21.0,11th,Never-married,Own-child,Female,
043-05-8968,17.0,,,Not-in-family,Female,
596-83-6608,46.0,Masters,,Husband,Male,>50K
500-18-4274,31.0,Some-college,Divorced,,Male,<=50K
688-57-4937,21.0,HS-grad,Divorced,Own-child,Male,
679-82-1866,24.0,Some-college,,Husband,,<=50K
345-88-4520,21.0,Bachelors,,,,<=50K
265-75-5527,24.0,,Never-married,Own-child,Male,
389-52-7026,20.0,Bachelors,Married-civ-spouse,,,<=50K
105-55-8967,66.0,,,,Male,>50K
094-56-3881,45.0,,,Wife,,
475-52-2112,39.0,,Married-civ-spouse,Wife,Female,>50K
489-12-7763,53.0,Masters,Never-married,Not-in-family,Female,<=50K
595-33-1694,20.0,Some-college,Married-civ-spouse,,Female,
303-50-1228,,9th,Married-civ-spouse,Husband,Male,<=50K
270-94-5945,27.0,HS-grad,Never-married,Not-in-family,Female,
431-60-3193,23.0,Doctorate,Married-civ-spouse,Wife,Female,<=50K
182-92-3832,21.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
154-23-8329,45.0,HS-grad,Separated,,,
797-05-1596,,10th,Never-married,Own-child,,<=50K
387-59-2137,47.0,,Married-civ-spouse,Husband,,
589-61-9164,32.0,Masters,Never-married,Not-in-family,Male,
117-78-2555,28.0,Some-college,Married-civ-spouse,,,<=50K
961-91-6460,33.0,HS-grad,Never-married,,,<=50K
382-49-3857,24.0,Some-college,Never-married,Own-child,,<=50K
406-57-2481,32.0,,Married-civ-spouse,Husband,Male,>50K
230-12-8992,40.0,Some-college,Never-married,Own-child,Female,<=50K
037-99-1400,43.0,HS-grad,Married-civ-spouse,Wife,,>50K
485-87-2235,36.0,Some-college,Married-civ-spouse,Husband,,
360-04-2997,41.0,Bachelors,,Husband,Male,>50K
383-93-7346,34.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
577-76-4127,43.0,,,Not-in-family,Female,
296-89-8034,66.0,,,Husband,Male,<=50K
296-28-3783,27.0,,Never-married,Not-in-family,Male,<=50K
482-61-6707,63.0,9th,Married-civ-spouse,Husband,Male,
363-97-4201,18.0,,Divorced,,,<=50K
621-68-3046,52.0,,,Husband,Male,>50K
496-68-3046,30.0,Some-college,Married-civ-spouse,,,>50K
308-38-4520,,Bachelors,Never-married,Own-child,Male,<=50K
967-26-0441,39.0,Some-college,Never-married,Not-in-family,Male,<=50K
891-30-8352,36.0,,Never-married,Not-in-family,,<=50K
929-51-4741,34.0,Masters,Married-civ-spouse,Husband,Male,>50K
213-20-6387,34.0,Masters,Married-civ-spouse,Wife,Female,>50K
257-06-3881,38.0,Bachelors,Never-married,Not-in-family,Male,<=50K
278-00-9827,48.0,,Married-civ-spouse,Husband,Male,
307-09-4594,18.0,HS-grad,Divorced,Own-child,Male,
239-40-4176,32.0,,,,Male,
995-76-1669,46.0,Some-college,Married-civ-spouse,Husband,Male,>50K
612-56-1424,56.0,Bachelors,Separated,,,
774-66-2161,,,,Own-child,Female,
334-85-8722,,Assoc-voc,Married-civ-spouse,Husband,,>50K
252-57-9852,58.0,,Never-married,Not-in-family,,
583-47-6657,19.0,,Never-married,Not-in-family,Male,<=50K
296-92-8746,30.0,,Married-civ-spouse,Husband,,>50K
037-80-7125,57.0,Some-college,Never-married,Other-relative,Female,<=50K
299-35-5036,43.0,Bachelors,Separated,,Female,<=50K
317-93-6117,28.0,Bachelors,Married-civ-spouse,Wife,Female,<=50K
754-54-5453,36.0,,,Other-relative,Female,
210-81-0810,20.0,HS-grad,,,,<=50K
283-32-3095,49.0,Bachelors,Never-married,Not-in-family,,<=50K
656-14-2505,23.0,11th,Never-married,Own-child,Male,
344-22-6043,32.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
148-67-9361,39.0,Masters,Married-civ-spouse,Husband,Male,>50K
357-55-5282,46.0,Some-college,Married-civ-spouse,,Female,<=50K
326-16-7075,49.0,,Married-civ-spouse,Husband,,<=50K
785-78-0097,59.0,7th-8th,Married-civ-spouse,Husband,Male,
842-13-7591,24.0,HS-grad,Divorced,Not-in-family,,
144-22-6044,50.0,Assoc-acdm,Married-civ-spouse,Husband,,
233-78-3783,,,Never-married,Own-child,Male,<=50K
385-99-5085,52.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
898-37-2234,,Some-college,Married-civ-spouse,Husband,,
595-23-9557,32.0,Some-college,Never-married,,,
111-64-0049,42.0,Bachelors,Never-married,Not-in-family,,
865-93-9802,42.0,HS-grad,Never-married,,Female,
927-70-2701,34.0,Some-college,,,,<=50K
186-17-9360,35.0,Some-college,Married-civ-spouse,Husband,Male,
604-45-3316,21.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
064-15-8476,,HS-grad,Never-married,Own-child,,<=50K
332-43-2432,41.0,,,Husband,Male,
561-33-2923,47.0,HS-grad,Never-married,,,
102-18-0589,33.0,Assoc-acdm,Married-civ-spouse,Husband,,
030-43-6117,28.0,1st-4th,Married-civ-spouse,,Male,
051-44-3488,31.0,,Never-married,Own-child,,<=50K
829-79-1153,17.0,11th,Never-married,Own-child,Female,
721-59-0908,,Bachelors,,Husband,,<=50K
431-32-6780,45.0,Bachelors,,Not-in-family,Male,<=50K
917-38-3291,42.0,Some-college,Divorced,,Female,<=50K
021-25-3071,46.0,,Widowed,Not-in-family,Male,<=50K
178-90-0491,20.0,HS-grad,Never-married,,Male,
318-85-7493,24.0,Bachelors,,,,<=50K
197-38-9434,49.0,Masters,Married-civ-spouse,Husband,Male,<=50K
482-95-4544,29.0,Assoc-acdm,,,,<=50K
169-07-2481,26.0,,,Husband,,
323-15-7247,,,Married-civ-spouse,Husband,,
270-17-8132,40.0,,Married-civ-spouse,,Male,
880-83-5379,52.0,Some-college,Married-civ-spouse,Husband,,
013-20-6388,36.0,,,,,
619-87-1006,44.0,,Married-civ-spouse,Wife,,>50K
669-65-6018,24.0,Bachelors,Married-civ-spouse,Husband,Male,
560-16-5847,31.0,Some-college,Married-civ-spouse,Husband,Male,
306-29-6068,29.0,,Never-married,Not-in-family,Male,<=50K
599-20-1473,29.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
255-65-1105,48.0,Masters,Married-civ-spouse,Husband,Male,
083-41-5233,32.0,Bachelors,,Husband,Male,<=50K
419-04-1768,36.0,Prof-school,Married-civ-spouse,Husband,,>50K
761-42-5060,40.0,Prof-school,Divorced,Not-in-family,,<=50K
363-88-2063,64.0,HS-grad,Divorced,Not-in-family,,<=50K
004-02-3341,54.0,,Never-married,Not-in-family,Male,<=50K
757-89-3119,28.0,,Widowed,Not-in-family,Male,
201-93-4889,45.0,HS-grad,Married-civ-spouse,Husband,Male,
414-15-8476,23.0,Some-college,,,Male,
668-27-3955,53.0,HS-grad,Widowed,,Male,<=50K
321-46-8058,35.0,Bachelors,,Husband,Male,
113-72-8501,34.0,,Never-married,Own-child,Male,
988-23-7099,60.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
764-64-9876,,10th,Never-married,Not-in-family,Male,<=50K
979-85-2578,18.0,Bachelors,Never-married,Own-child,Female,
961-36-3635,40.0,,,Husband,Male,>50K
766-06-2652,,HS-grad,Married-civ-spouse,Husband,,>50K
163-02-2112,46.0,,Married-civ-spouse,Husband,Male,<=50K
112-80-7125,42.0,,,Not-in-family,,<=50K
399-75-4299,23.0,,,Not-in-family,,
206-87-9606,87.0,,Never-married,Unmarried,Male,<=50K
147-48-1572,25.0,Some-college,Never-married,Not-in-family,Female,<=50K
228-62-4078,28.0,Assoc-voc,,Husband,Male,
361-33-2923,23.0,HS-grad,Never-married,Own-child,Female,<=50K
678-77-7640,82.0,Some-college,Never-married,,Male,<=50K
428-25-5527,54.0,Bachelors,Widowed,Not-in-family,,
160-65-7247,22.0,,Married-civ-spouse,Husband,,
990-38-6976,38.0,Assoc-voc,Married-civ-spouse,Husband,Male,
835-41-1547,36.0,,Married-civ-spouse,Wife,,
747-20-5158,45.0,Bachelors,Never-married,Own-child,,<=50K
858-84-5207,26.0,Assoc-voc,Never-married,,,<=50K
626-71-9901,63.0,,Divorced,,,
315-78-6240,,HS-grad,,,,
659-42-8746,56.0,,Never-married,,,<=50K
996-74-4470,30.0,,,Husband,,<=50K
842-93-6117,36.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
348-74-0785,42.0,Bachelors,Married-civ-spouse,Husband,Male,
321-99-0171,37.0,Some-college,Married-civ-spouse,Husband,Male,
448-58-7223,54.0,,,Husband,Male,
983-50-7370,56.0,HS-grad,,,Male,
689-49-6313,46.0,,Never-married,Own-child,Male,
921-46-8058,54.0,Bachelors,,Husband,,
320-39-3120,22.0,,Never-married,,,<=50K
029-91-4004,26.0,,Married-civ-spouse,Husband,Male,
604-82-1866,58.0,HS-grad,Never-married,Not-in-family,Female,<=50K
250-70-6387,18.0,10th,Never-married,Not-in-family,Male,<=50K
476-22-8500,70.0,Bachelors,Married-civ-spouse,Husband,Male,
001-65-8476,46.0,,,,Male,<=50K
719-04-1768,23.0,,Never-married,Not-in-family,,
533-78-3783,46.0,Bachelors,Married-civ-spouse,,Female,>50K
769-90-1719,43.0,Assoc-voc,Married-civ-spouse,Husband,Male,
027-97-9115,41.0,Bachelors,Never-married,Not-in-family,,
997-23-5871,52.0,Assoc-voc,Separated,,Male,<=50K
911-14-8647,64.0,,Married-civ-spouse,Husband,,
492-62-8992,66.0,,Divorced,Not-in-family,Female,
696-92-8746,31.0,,Divorced,Unmarried,,
215-29-4840,53.0,,Married-civ-spouse,Husband,Male,
735-62-6534,37.0,Assoc-voc,,Husband,,
310-68-7960,22.0,Assoc-acdm,Separated,Not-in-family,Female,
571-28-3783,65.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
317-78-2554,37.0,Assoc-voc,,Husband,Male,<=50K
135-50-3685,37.0,,Widowed,Not-in-family,,
789-74-2013,60.0,,Married-civ-spouse,Husband,Male,<=50K
935-16-5846,49.0,HS-grad,Never-married,,Male,
698-61-7935,44.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
636-05-6510,28.0,Some-college,Married-civ-spouse,Husband,,<=50K
722-11-3021,32.0,Bachelors,Married-civ-spouse,Husband,Male,
284-73-5871,31.0,Some-college,Divorced,,Male,<=50K
096-25-3071,,,Married-civ-spouse,Husband,,
686-79-3611,39.0,,Married-civ-spouse,Husband,,
741-03-1940,53.0,Some-college,,Unmarried,,<=50K
214-00-4913,42.0,HS-grad,Never-married,Own-child,Male,<=50K
939-92-6288,40.0,HS-grad,Married-civ-spouse,Husband,,>50K
224-29-3611,26.0,,Married-civ-spouse,Husband,Male,<=50K
912-25-4298,33.0,HS-grad,,Unmarried,,
790-72-4814,23.0,Some-college,Never-married,,Male,<=50K
452-57-9852,31.0,,Divorced,Unmarried,,
734-06-0195,,Bachelors,Divorced,,,
314-55-7739,39.0,HS-grad,Never-married,Not-in-family,Male,<=50K
882-09-4593,25.0,HS-grad,Never-married,Own-child,,<=50K
289-89-5577,21.0,Bachelors,Never-married,,Female,<=50K
168-08-9680,52.0,Some-college,Widowed,Not-in-family,,<=50K
782-77-0269,26.0,,Married-civ-spouse,Husband,Male,<=50K
297-66-5847,36.0,,Never-married,Not-in-family,Male,<=50K
866-03-1940,46.0,Some-college,Divorced,,Male,
083-90-6633,50.0,,Married-civ-spouse,Wife,,<=50K
914-12-7763,38.0,HS-grad,Married-civ-spouse,Husband,Male,
715-90-9090,20.0,,Never-married,Own-child,,<=50K
231-94-1031,51.0,Bachelors,Married-civ-spouse,Husband,,<=50K
222-66-5847,30.0,,Married-civ-spouse,Husband,Male,<=50K
365-57-1252,33.0,HS-grad,,Not-in-family,,
572-11-3021,25.0,Some-college,,,,<=50K
350-30-7124,60.0,,Never-married,Not-in-family,,<=50K
408-87-5920,18.0,Some-college,Never-married,Own-child,,
440-72-4815,,,Married-civ-spouse,Husband,,
565-84-7665,29.0,HS-grad,Widowed,Unmarried,Male,<=50K
397-02-0884,37.0,,Never-married,Unmarried,,
951-19-7787,40.0,Some-college,,Husband,,
006-87-9606,23.0,Some-college,,Husband,Male,
834-02-9483,49.0,Some-college,Married-spouse-absent,Other-relative,,>50K
456-69-5331,,Some-college,,Husband,,
823-49-5085,27.0,,Never-married,Other-relative,Male,
710-96-4372,24.0,,Never-married,Not-in-family,Female,
508-10-8107,68.0,HS-grad,Divorced,Not-in-family,,<=50K
243-98-0343,19.0,Some-college,,Own-child,Female,
589-34-2751,31.0,,,,,<=50K
456-32-6780,20.0,,Never-married,Not-in-family,,
873-98-6485,48.0,Some-college,Never-married,Not-in-family,Male,<=50K
184-21-3759,25.0,Masters,Married-civ-spouse,Wife,Female,<=50K
520-23-9557,26.0,,Separated,,Female,<=50K
303-53-1940,37.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
679-29-9753,34.0,Some-college,Married-civ-spouse,Husband,Male,>50K
879-26-9040,,Prof-school,,,,
533-38-4520,22.0,Bachelors,Married-civ-spouse,,,
930-49-7542,24.0,Masters,Divorced,,Male,
716-21-6215,,Bachelors,,Not-in-family,,<=50K
028-77-7641,46.0,,Married-civ-spouse,Husband,Male,>50K
281-48-0343,21.0,HS-grad,Never-married,,Male,<=50K
780-43-6117,30.0,HS-grad,Married-civ-spouse,Husband,Male,
600-95-2087,45.0,Bachelors,Married-civ-spouse,Husband,,
014-28-1326,35.0,Some-college,Never-married,,Male,
754-39-1891,28.0,HS-grad,Never-married,Own-child,,<=50K
672-63-5134,32.0,10th,Never-married,Not-in-family,,<=50K
301-04-4225,48.0,,Married-civ-spouse,Husband,Male,>50K
184-18-3046,24.0,Bachelors,Married-civ-spouse,,,<=50K
738-75-9213,28.0,HS-grad,Divorced,Unmarried,Male,<=50K
313-75-9213,69.0,Bachelors,Never-married,Other-relative,,
101-90-4176,74.0,Bachelors,Divorced,,Female,
872-05-1596,45.0,HS-grad,Married-civ-spouse,Husband,,<=50K
664-74-2014,23.0,11th,Never-married,Own-child,,<=50K
390-97-0515,55.0,HS-grad,Married-civ-spouse,,Male,
737-49-9999,60.0,Assoc-voc,Divorced,Not-in-family,Female,<=50K
195-36-2407,21.0,HS-grad,Never-married,,,<=50K
893-58-1080,43.0,,Married-civ-spouse,Husband,Male,
150-55-2825,54.0,HS-grad,Married-civ-spouse,Husband,,>50K
869-77-8868,31.0,5th-6th,Never-married,Own-child,,<=50K
091-03-1940,,,Never-married,Not-in-family,Male,
214-15-8476,31.0,HS-grad,Never-married,Other-relative,,
211-36-3636,40.0,,Married-civ-spouse,Husband,,
516-00-1227,55.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
125-92-1375,41.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
465-78-6240,,Assoc-acdm,Divorced,Not-in-family,Male,<=50K
668-18-1817,25.0,,Married-civ-spouse,Husband,Male,<=50K
167-35-2579,35.0,HS-grad,Never-married,Own-child,Male,
522-66-5847,30.0,,Married-civ-spouse,Wife,Female,
983-26-1669,29.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
926-47-4200,77.0,Some-college,Married-civ-spouse,Husband,Male,
037-86-8550,29.0,Some-college,Married-civ-spouse,Husband,Male,
730-74-3242,40.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
541-03-1940,61.0,Some-college,,,Female,
038-26-7813,28.0,,Separated,Not-in-family,,
011-05-6511,51.0,Bachelors,Married-civ-spouse,Husband,,
625-55-2824,20.0,,,Own-child,Female,
557-58-5994,60.0,,Widowed,,,
982-18-6731,54.0,,Married-civ-spouse,Husband,Male,
612-77-6412,27.0,Masters,Married-civ-spouse,Husband,,
189-86-4864,21.0,HS-grad,Never-married,Own-child,Male,
094-71-7444,57.0,,Never-married,Not-in-family,,
485-71-8672,38.0,,,Not-in-family,Male,<=50K
406-08-1080,28.0,Some-college,Separated,Unmarried,,<=50K
960-31-9409,34.0,,Never-married,Not-in-family,,<=50K
304-33-0466,40.0,Some-college,Married-civ-spouse,Husband,Male,>50K
247-54-2997,36.0,10th,Married-civ-spouse,Husband,Male,
042-22-9729,20.0,,Separated,Own-child,Female,
454-88-3291,38.0,HS-grad,Married-civ-spouse,,Male,>50K
178-50-1228,52.0,HS-grad,Never-married,Not-in-family,,<=50K
689-52-7026,39.0,,Married-civ-spouse,Husband,,>50K
129-39-1891,36.0,,Never-married,Not-in-family,,<=50K
171-71-3759,22.0,HS-grad,Never-married,,,<=50K
474-50-8599,47.0,,Married-civ-spouse,Husband,Male,<=50K
855-22-1129,64.0,HS-grad,Divorced,Unmarried,Male,<=50K
231-66-4618,46.0,HS-grad,Married-civ-spouse,Husband,,
364-86-4864,,,Never-married,Other-relative,Male,<=50K
784-12-1620,33.0,,Divorced,Not-in-family,,<=50K
834-85-8721,34.0,Some-college,Married-civ-spouse,Husband,,
814-31-2038,40.0,Some-college,Never-married,Not-in-family,Male,
116-79-9754,71.0,Assoc-acdm,Never-married,,,<=50K
031-11-1793,34.0,10th,Married-civ-spouse,Husband,Male,>50K
205-40-5405,36.0,Some-college,,,,<=50K
237-07-0024,29.0,HS-grad,,Husband,Male,<=50K
071-77-5184,43.0,,,,Male,<=50K
668-85-7493,39.0,HS-grad,Married-civ-spouse,Husband,Male,
492-72-1129,35.0,,Married-civ-spouse,Husband,Male,
237-13-1449,22.0,HS-grad,Never-married,Own-child,,<=50K
791-24-6927,45.0,,Married-civ-spouse,Husband,Male,
157-30-9582,34.0,9th,Married-civ-spouse,,Male,>50K
767-72-1129,25.0,Some-college,Divorced,Not-in-family,,<=50K
877-88-6977,50.0,,Married-civ-spouse,Husband,,<=50K
710-19-6559,40.0,,Married-civ-spouse,Husband,Male,
193-67-3218,57.0,5th-6th,Married-civ-spouse,Husband,Male,>50K
375-79-8525,51.0,HS-grad,Married-civ-spouse,,Male,>50K
175-64-4962,42.0,,Married-civ-spouse,,Male,<=50K
136-94-7174,53.0,1st-4th,Married-civ-spouse,Husband,,
721-16-0932,52.0,Some-college,Married-civ-spouse,,Female,<=50K
017-99-7542,33.0,Some-college,Never-married,,Male,<=50K
329-17-6903,27.0,Some-college,Never-married,Not-in-family,,
326-44-3488,42.0,Some-college,Married-civ-spouse,Husband,Male,
770-88-4520,25.0,Masters,Married-civ-spouse,Husband,,
856-57-2480,,Preschool,Never-married,Own-child,Female,
239-06-6338,64.0,Some-college,Never-married,,Male,
458-99-8771,33.0,Bachelors,,,Male,
488-05-2825,21.0,Assoc-acdm,Never-married,Not-in-family,Male,<=50K
486-36-3635,36.0,Bachelors,,Own-child,Female,<=50K
644-28-7468,20.0,,Never-married,Own-child,,<=50K
900-36-8549,35.0,Bachelors,Married-civ-spouse,Wife,,
968-36-6092,23.0,10th,,Own-child,Male,
643-55-0367,47.0,HS-grad,Never-married,Unmarried,Female,<=50K
677-02-7026,47.0,Some-college,Never-married,,,
117-41-4004,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
957-12-5306,35.0,HS-grad,Married-civ-spouse,Husband,,<=50K
946-86-7320,,,Married-civ-spouse,Wife,,>50K
391-89-1891,31.0,HS-grad,,,Female,<=50K
329-69-9016,42.0,,Married-civ-spouse,Husband,Male,>50K
226-22-8501,37.0,,Never-married,Not-in-family,Female,
194-56-3881,43.0,9th,Never-married,,,<=50K
974-32-4323,39.0,HS-grad,Separated,Unmarried,,
000-42-9975,41.0,Masters,Married-civ-spouse,Wife,Female,
887-37-7148,,Bachelors,Married-civ-spouse,Husband,,
872-51-2284,19.0,HS-grad,,Own-child,Female,<=50K
760-50-3684,24.0,HS-grad,Never-married,Own-child,,<=50K
824-20-1473,34.0,HS-grad,Married-civ-spouse,Husband,,<=50K
626-62-7763,31.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
558-69-1645,31.0,Bachelors,,Not-in-family,,<=50K
373-80-2210,33.0,HS-grad,Married-civ-spouse,Wife,Female,
358-16-9532,69.0,Some-college,Divorced,,Male,<=50K
512-96-0687,19.0,Some-college,Never-married,Not-in-family,Male,
106-72-6044,45.0,HS-grad,Divorced,Not-in-family,,<=50K
422-85-0122,,HS-grad,,Husband,Male,>50K
407-73-9557,54.0,Some-college,Married-civ-spouse,Husband,,<=50K
028-47-0515,44.0,,Married-civ-spouse,Husband,Male,
610-25-7984,60.0,,Married-civ-spouse,Husband,,<=50K
